manufactor,Year,model,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test,Supply_score
קיה,2013,פורטה,4,אוטומטית,1500,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,22000.0,2.0,22/10/2023,22/10/2023,['רכב נוח במיוחד במצב מציון שמור ומתוחזק מאוד מטופל ללא תאונות כלל בהיתחייבות. תוספות + תא מטען גדול + חיישני רוורס + דיבורית'],חום,199000,,6.0
סוזוקי,2008,סוזוקי סוויפט,3,אוטומטית,1500,בנזין,,,מושבים,עזריה,19500.0,1.0,22/08/2022,22/08/2022,['רכב שמור צבע חדש'],None,,,
אאודי,2014, Q3,4,אוטומטית,2000,בנזין,,,כרמיאל והסביבה,כרמיאל,77500.0,1.0,10/09/2022,10/09/2022,['הרכב ממש חדש במצב נדיר עם כול התוספות וגם פנוראמי הכול חדש אין מכות או שריתות חדש דנדש לרצינים בלבד בלבד מחיר מבוקש מתחת למחיר שמבקשים אחירים לפי המצב רכב אייייין כזה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גגפנוראמי מושבי עור חשמלי מגנזיום גלגלים מצב חדש חדש רכב שקת פנסים לייד קדימה אחורה תיאורה לייד גם בפנים מיוחדת צורה של הרכב מיוחדת'],,169000,,
קיה,2015,פיקנטו,2,אוטומטית,1200,בנזין,,,חיפה וחוף הכרמל,חיפה,45000.0,1.0,28/09/2022,28/09/2022,"['רכב שמור. מצבר חדש, 4 גלגלים חדשים. מטופל במוסך מורשה. טסט בעוד 11 חודשים. שמור מאד &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת מוליטימדיה, חיישני רוורס, מצלמת רוורס']",,96000,,20.0
הונדה,2007,סיוויק סדאן,3,אוטומטית,1800,בנזין,פרטית,פרטית,ירושלים והסביבה,קרית יערים,23000.0,3.0,27/12/2022,28/12/2022,['רכב שמור מאוד במצב מעולה. ללא תאונות וללא תקלות. טסט עד אוגוסט 2023. מערכת סטריאו תקינה ודיבורית בלוטוס. מחליף עקב מעבר לרכב משפחתי.'],כסוף,170000,,
סוזוקי,2016,סוזוקי SX4 קרוסאובר,2,אוטומטית,1600,בנזין,ליסינג,פרטית,רמת,רמת,58000.0,2.0,28/09/2023,28/09/2023,['מצב מעולה'],שחור,77000,,
טויוטה,2015,קורולה,2,אוטומטית,1600,בנזין,,,באר שבע והסביבה,באר שבע,62000.0,2.0,15/09/2022,15/09/2022,"['טויוטה קורולה 2015 Sun אוט\' 1.6 (132 כ""ס) אוטומטית 1,600 סמ""ק. יד שנייה נהג יחיד שמורה בלי תאונות. טסט עד סוף אפריל 2023 . כולל חיישני רוורס אמובילייזר קודנית נעילה מרכזית חלונות חשמליים. גמיש במחיר במעמד המכירה.']",,,,
פולקסווגן,2008,גולף,3,אוטומטית,1595,בנזין,,,באר שבע והסביבה,עומר,21000.0,0.0,08/07/2022,08/07/2022,"['שמור, מטופל תמיד במוסך פולקסוואגן מורשה, עלייה לכביש בסוף 2008. למעשה הוא יד שנייה. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מזגן, ABS, חלונות חשמל (4), הגה כוח, 7 כריות אוויר, חיישני רוורס']",,149000,,
פולקסווגן,2007,פאסאט,3,אוטומטית,2000,בנזין,פרטית,פרטית,גליל ועמקים,ריינה,20000.0,7.0,10/06/2022,10/06/2022,"[""באסאט 2007 highline \nמנוע 2000 \nקילומטראז' 170000\nגג נפמח \nכיסאות חשמאליים \nחימום בכיסאות\n0549900237""]",שחור,170000,,
שברולט,2017,ספארק,1,אוטומטית,"1,400",בנזין,,,חולון - בת ים,חולון,50000.0,1.0,04/07/2022,04/07/2022,['רכב שמור נהג יחיד ltbrgtltbrgtפירוטltbrgt גנטים ומערכת סאונד רמה גבוה השחרה מאחורה'],,68000,,
מאזדה,2015,מאזדה 3,4,אוטומטית,1500,בנזין,פרטית,פרטית,עכו - נהריה,נהריה,43000.0,8.0,13/05/2024,21/05/2024,"['מאזדה 3 קומפורט 2015.\nיד 04 ברישיון\n152,000 ק""מ\nמנוע 1500\nבמצב מכני מצוין, עבר טיפול גדול לפני חודש.\n4 צלחות ורפידות חדשים. 2 משולשים ו2 צמיגים חדשים.\nמולטימדיה אנדרואיד תואם מקור עם כל ההגדרות של הרכב.\nאיתוראן.\nמחיר - 45,000 \nמאור - 0507485117']",שחור,152000,,6832.0
טויוטה,2014,קורולה,3,אוטומטית,1600,בנזין,,,באר שבע והסביבה,באר שבע,46000.0,0.0,23/08/2022,23/08/2022,['אוטו נקי נמכר עקב מעבר לרכב חדש &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; נקי פנמית חוצנית אוטו דלק וסע'],,190000,,
ניסאן,2013,ניסאן נוט,5,אוטומטית,1100,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,23900.0,0.0,21/06/2023,21/06/2023,['ניסאן נוט 2013'],לבן,150,,
קיה,2011,סול,2,טיפטרוניק,1600,דיזל,,,באר שבע והסביבה,שדרות,32000.0,1.0,15/06/2022,15/06/2022,['קיה סול טורבו דיזל 1600 רכב חסכוני ומרווח &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; וו גרירה ששומש לטיולים עם עגלה קטנה מדי פעם מערכת מולטימדיה עם מצלמת רוורס של פיוניר'],,182000,,6.0
קיה,2013,פיקנטו,4,ידנית,1000,בנזין,,,בית שמש והסביבה,בית שמש,23000.0,1.0,07/10/2022,07/10/2022,"['קיה פיקנטו ידנית מנוע 1.0 שנת 2013 נהג יחיד טסט לשנה מלאה צמיגים חדשים אחרי טיפול גדול רכב שמור מאוד ומטופל , ללא תאונות/מכות. חסכוני מאוד. יד רביעית. 76000 קמ בלבד. מתחייב גיר מנוע שלדה.']",,76000,,11.0
וולוו,2014,V40 CC,4,אוטומטית,1600,בנזין,פרטית,פרטית,גדרה יבנה והסביבה,גדרה,46000.0,6.0,28/05/2023,28/05/2023,"['מוכר את הרכב עקב קבלה של רכב חברה \nמדובר ב וולוו v40 cross country\n #שנת 2014 מנוע 1.6 טורבו 180 כ""ס \n#הרכב עם 105,000 קילומטר \n#האוטו אחרי ישור קן רציני הכולל טיימינג, משאבת מים, צלחות רפידות קדימה אחורה ,שמנים פילטרים פלאגים ונאבה קידמית ימנית ויש קבלות על הכול ! \n#על האוטו יש גנט 18 שנקנה ליפני 3 חודשים וסט צמיגים של Continental Premium Contact 7 \nשבקושי נסעו יש אפשרות לקנות את האוטו אם גנט 16 המקורי במחיר נמוך יותר. האוטו מהנה חסכוני ואמין . מבקש על הרכב 46,000 \n 054-5560220- מתן']",לבן מטאלי,105000,0,0.0
מיצובישי,2020,לנסר ספורטבק,2,אוטומטית,4200,גז,פרטית,פרטית,באר שבע והסביבה,דימונה,35000.0,4.0,05/01/2024,05/01/2024,"['2020 מיצובישי אאוטלנדר ספורט ES 4x4 1-בעלים מנוע 4 צילינדרים חזק בנפח 2.0 ליטר עם תיבת הילוכים אוטומטית, הנעה לכל הגלגלים לְנַקוֹת, ללא תאונות 90,000 מיילים מה...']",לבן,90000,,
יונדאי,2018,i10,1,אוטומטית,1250,בנזין,,,נס ציונה - רחובות,נס ציונה,60000.0,1.0,12/05/2022,12/05/2022,"['נהג יחיד, יד ראשונה, אוטומט, רכב שמור ללא תאונות ותקלות. קיימת מערכת מולטימדיה חדשנית, מצלמות + חיישני רוורס ומערכת מובילאיי. נמצא במצב מצוין, מטופל רק במוסך מורשה ובזמן ולא ביצע נסיעות ארוכות. הוחלף מצבר לפני כמה חודשים. נמכר עקב שדרוג לרכב גדול יותר. לרציניים בלבד.']",,40000,,
אאודי,2007,אאודי A3,2,אוטומטית,2000,בנזין,,,ירושלים והסביבה,ירושלים,21000.0,1.0,18/08/2022,18/08/2022,['האודי a3 שנת 2007 \r\nמנוע 2000 150 כוח סוס \r\nסאנרוף טסט ארוך \r\nיד שנייה \r\nעם 150 אלף קמ \r\nרכב במצב מצויין &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; סאנרוף'],,150000,,57.0
אאודי,2016, A1,2,אוטומטית,1000,בנזין,ליסינג,פרטית,,בית ג'ן,55000.0,3.0,25/11/2023,24/11/2023,['רכב שמור מטופל בזמן יש עליו כל מיני תוספות מי שיקנה יהנה ממנו\nמעוניין במכירה בגלל שידרוג לרכב משפחתי'],שחור,135000,,
סקודה,2012,"סקודה פאביה
 (2012)",1,אוטומטית,"1,197",בנזין,,,אשדוד - אשקלון,גן יבנה,24500.0,1.0,31/05/2022,31/05/2022,['סקודה פביה מצב מכני מעולה מטופלת שמורה פנימית פרטית יד 1 נוסעת מעולה אוטו מאוד מהיר אפשרות לגמישות במחיר לרציניים צרו קשר הזדמנות לאוטו מעולה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת למניעת תאונות'],,"147,000",,
סקודה,2017,אוקטביה,3,אוטומטית,1800,בנזין,פרטית,פרטית,טבריה והסביבה,מגאר,83000.0,5.0,45170,45170,"['סקודה אוקטביה \nמודל 2017\nדגם סבישל אדישן 1.8 180 כ״ס\nנסע 144 אלף \nיד 3\n אוטו שמור ונקי עם כל התוספות האפשריות, טיפול חדש לפני שבוע , ללא שיפורים הכל חדש\nלעוד פרטים 0505599996']",לבן פנינה,144000,,
הונדה,2015,CIVIC,1,אוטומטית,1800,בנזין,,,רמת גן - גבעתיים,רמת גן,60000.0,0.0,11/09/2022,11/09/2022,"['צבע לבן, 5 דלתות, ']",,44000,,2951.0
מאזדה,2014,מאזדה 3,3,טיפטרוניק,1500,בנזין,ליסינג,פרטית,רעננה - כפר סבא,כפר סבא,45000.0,7.0,14/05/2023,14/05/2023,[nan],כחול כהה מטאלי,144500,,
אאודי,2016,אאודי A3,2,אוטומטית,1400,בנזין,פרטית,פרטית,חיפה וחוף הכרמל,טירת כרמל,93000.0,9.0,27/01/2022,27/01/2022,['רכב שמור ללא תיקון צבע כל התוספות חסכוני אמין מאוד עם תוספות מעל 30 אלף שקל רכב יפה אמין התחייבות בבדיקה'],לבן פנינה,110000,,602.0
הונדה,2011,CIVIC,4,אוטומטית,1800,בנזין,,,עכו - נהריה,עכו,30000.0,1.0,27/10/2022,27/10/2022,"['רכב מסוג הונדה סיוויק 2011, הרכב נסע 147,445 ק״מ הרכב שמור מאוד יש שפשוף בדלת למטה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מגני רוח וספויילר ']",,147445,,2710.0
יונדאי,2020,איוניק,1,אוטומטית,1600,היברידי,,,קריות,קרית אתא,95000.0,1.0,16/09/2022,16/09/2022,"['רכב במצב מעולה- מחיר גמיש &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת מולטימדיה, בלוטוס, מערכת ניווט ובקרת שיווט']",,90000,,
יונדאי,2016,סונטה,5,אוטומטית,2000,היבריד,פרטית,פרטית,רמת גן - גבעתיים,בני ברק,70000.0,2.0,24/07/2023,24/07/2023,['יונדאי סונטה היברידית מצב מעולה חסכונית הרכב נסע 100000 קמ \nיש סריטות או מכות קלות פה ושם \nחוץ מזה הרכב נוסע מעולה ומפנק מאוד'],לבן פנינה,100000,,
יונדאי,2014,i30,3,אוטומטית,1500,בנזין,פרטית,פרטית,רמת גן - גבעתיים,בני ברק,26000.0,5.0,13/02/2023,13/02/2023,"[""רכב יונדאי i30 סטיישן במצב מכני וחיצוני מעולה! רכב מטופל בזמן ללא תקלות!! מושקע, מערכת אנדרואיד מותקנת , מצלמת רוורס , חסכון בדלק ECO , שילדה במצב חדש ! צמיגים ודסקיות חדשים ! פגז' גדול ומרווח . פשוט לקנות ולנסוע .. מחליף בגלל שהמשפחה גדלה . אין תמונות כי לא מצליח להעלות אותם , אשלח בפרטי לא להתקשר בשבת""]",אפור עכבר,216000,,
טויוטה,2017,C-HR,1,אוטומטית,1197,בנזין,,,,זרזיר,95000.0,2.0,10/08/2022,10/08/2022,"['רכב לבן הוא טוב מאוד ועשה קילומטר אז 79,000']",,79000,,
מאזדה,2014,מאזדה 3,3,טיפטרוניק,1500,בנזין,ליסינג,פרטית,רעננה - כפר סבא,כפר סבא,45000.0,7.0,14/05/2023,14/05/2023,['מזדה 3 2014 מצב מצוין\n טסט עד חודש 8 \n144500 קילומטר \nמצבר חדש \nמשולשים \nברקסים \n\nרכב שלא רואה מוסך'],כחול כהה מטאלי,144500,,6917.0
סקודה,2018,אוקטביה,2,אוטומטית,2000,דיזל,מונית,פרטית,אשדוד - אשקלון,אשדוד,50000.0,2.0,45602,45602,"['סקודה אוקטביה 2018 מונית שעבר 155,000 ק״מ הרכב במצב מצויין מקבל רכב מהעבודה ביגלל זה מוכר']",לבן,155000,79,
שברולט,2018,מאליבו,2,אוטומטית,"1,500",בנזין,,,גליל ועמקים,בית שאן,74000.0,1.0,06/07/2022,06/07/2022,['רכב מפואר ומפנק שמור מטופל בשברולט'],,63000,,
קיה,2016,ריו,2,אוטומטית,1396,בנזין,,,אשדוד - אשקלון,אשדוד,35000.0,1.0,19/07/2022,19/07/2022,['הרכב מטופל בזמן טסט עד 17/5/2023'],,162127,,15.0
פורד,2013,פוקוס,4,אוטומטית,1600,בנזין,,,באר שבע והסביבה,דימונה,19000.0,1.0,21/10/2022,21/10/2022,[nan],,220,,
קיה,2014,פורטה,2,אוטומטית,1600,בנזין,,,ירושלים והסביבה,ירושלים,34000.0,1.0,29/04/2022,29/04/2022,"['נקנתה מאלבר כחדשה 0 ק""מ ללא תאונות במצב טוב ומטופלת מחירון 38000 דורש 34000 (הפחתה ליסינג)']",,141600,,9.0
סקודה,2014,סקודה אוקטביה (2014),3,אוטומטית,"1,200",בנזין,פרטית,פרטית,רעננה - כפר סבא,כפר סבא,42000.0,4.0,01/04/2022,01/04/2022,[nan],אפור,"161,000",,
ב.מ.וו,2015,X1,2,אוטומטית,1998,בנזין,,,,תל יצחק,78000.0,1.0,22/06/2022,22/06/2022,['רכב מדהים פרטי ומפנק ללא תאונות'],,111000,,89.0
שברולט,2014,אוואו,1,אוטומטית,"2,400",בנזין,,,,נוף הגליל,38000.0,1.0,20/07/2022,20/07/2022,[nan],,120000,,
הונדה,2007,סיוויק,2,אוטומטית,1800,בנזין,לא מוגדר,לא מוגדר,פתח תקוה והסביבה,פתח תקווה,19000.0,0.0,31/10/2022,31/10/2022,['רכב מטופל '],,152000,,
סקודה,2015,סקודה ראפיד (2015),2,אוטומטית,"1,400",בנזין,,,חולון - בת ים,חולון,40000.0,1.0,31/10/2022,31/10/2022,['שמורה ללא תאונות\r\nטסט לשנה'],,"140,000",,
מרצדס,2023, E-Class,4,אוטומטית,2500,בנזין,חברה,פרטית,תל אביב,תל אביב יפו,86000.0,4.0,09/12/2023,09/12/2023,"['לנקות את קארפקס! מיילים נמוכים במיוחד!!\n\n""המהדורה הסופית, מוגבלת ל-999 יחידות וזמינה בצורות סלון ואחוזה, תהיה ההזדמנות האחרונה שלך לרכוש את ה-V8 בי-טורבו בנפח 604 כ""ס, 4.0 ליטר לפני ההכלאה גורפת פנימה עם ה-Mk6.\nכפי שהייתם מצפים, יש כמות מתאימה של עיטור מיוחד כדי להפוך את המכונית לראויה להידרדר אחרון, עם סגסוגות שחורות מזויפות בגודל 20 אינץ\', צבע מגנו גרפיט מט, ובנוסף - באדיבות חבילת הלילה של AMG - אלמנטים שונים שחור מבריק הכוללים את החזית מפצל, פסי עיטור, מקיפות חלונות ובית מראה.\nצנרת תאומים כרום שחורה הושלכו פנימה, וישנה זכוכית כהה מעמוד ה-b לאחור. סמלי AMG על עמודי ה-c יזכירו למשתמשי כביש אחרים את העליונות הצפויה שלכם במקרה של מירוץ דראג מאולתר.""-Top Gear\n\n\n*****ניווט*****BLUETOOTH*****מערכת גיבוי******מחיר מקורי 169,930$**מהדורה סופית 1 מתוך 99 (DV8) 56,113$****ביצועי סדאן מדהימים** סיבי AMG סיבי פחמן $2,850**מיוצר כותרות מיקרופייבר שחורות $1,600**גג PAMORAMA $1,000**גלגל הגה AMG בעור NAPPA/ALCANTARA $500**מגן חלונות אחורי כוח $440']",אפור,6351,,
קיה,2015,פיקנטו,4,אוטומטית,1248,בנזין,,,ראש העין והסביבה,ראש העין,39290.0,1.0,13/09/2022,13/09/2022,"['בובה של רכב, מוכרת עקב נסיעה לחו״ל יש מעט שריטות ומכות פח לא קריטיות, ניתן לראות בתמונות לללא עבר של טיפולי שלדה או החלפת גיר.. לא רואה מוסך חסכוני ואמין רכב מצויין בהבטחה גמישים לרציניים בלבד! &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מצלמת שיומי מחוברת לטלפון דרך בלוטוס, מערכת מולטימדיה סינית מערכת שמע חדשה עם רמקולים שלא תופסים מקום בבגאז׳.']",,102550,,20.0
מאזדה,2013,מאזדה 3,3,אוטומטית,1500,בנזין,פרטית,פרטית,פתח תקוה והסביבה,פתח תקווה,40000.0,4.0,14/01/2024,14/01/2024,"['מאזדה 3 שנת 2013 כ-144,000 קמ, רכב שמור,נוח ומפנק, טסט לשנה, צמיגים חדשים, הנעה בכפתור, חיישנים קדמיים ואחוריים, מצלמת רוורס, מסך מקורי מהחברה, גאנטים מקוריים מהחברה.\nמחיר 40,000 שח.']",לבן,144000,176,736.0
סקודה,2017,אוקטביה,1,אוטומטית,1400,בנזין,,,עמק יזרעאל,עפולה,78000.0,1.0,44779,44779,"['סקודה אוקטביה דגם: STYLE 1.4 שנת: 2017\r\nטסט עד פברואר 2023, &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; רכב שמור ברמה מאוד גבוהה, כל הטיפולים במוסך מורשה עם חלקים מקוריים בלבד. יכול להציג את כל המסמכים. שטיפה רק ידנית. אפס תאונות.\r\nגמיש במחיר לרציניים בלבד.']",,160000,,
הונדה,2009,סיוויק,3,אוטומטית,1800,בנזין,לא מוגדר,לא מוגדר,נתניה והסביבה,כפר יונה,25000.0,1.0,16/09/2022,16/09/2022,"['הרכב במצב טוב, מתחייב על מנוע גיר ושילדה, יש כתמי שמש, ללא תאונות!\r\nטסט לשנה']",,137000,,
סקודה,2018,אוקטביה,1,אוטומטית,1400,בנזין,ליסינג,פרטית,אשדוד - אשקלון,אשדוד,83000.0,1.0,45474,45474,"['רכב חסכוני ומהיר מרווח מאוד , גמיש במחיר , מצב מצויין מתחייב על הכל']",אפור מטאלי,110000,,
אאודי,2014, S7,1,אוטומטית,2800,בנזין,,,אשדוד - אשקלון,אשדוד,55000.0,,10/08/2022,10/08/2022,['רכב שמור מאוד . מחיר זול עקב עזיבת הארץ'],,100000,,
טויוטה,2014,קורולה,1,אוטומטית,1600,בנזין,ליסינג,פרטית,,באקה,52000.0,5.0,21/04/2022,21/04/2022,['None'],לבן פנינה,160000,,
שברולט,1988,אפלנדר,2,אוטומטית,6500,דיזל,,,בקעת אונו,גבעת שמואל,24000.0,1.0,10/07/2022,10/07/2022,['רכב במצב טוב סוס עבודה'],,250000,,1.0
סובארו,2015,SVX,3,אוטומטית,2000,בנזין,,,באר שבע והסביבה,להבים,38500.0,3.0,14/09/2022,14/09/2022,[nan],,410000,,
אאודי,2014,אאודי A1,3,אוטומטית,1400,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,55000.0,5.0,01/08/2022,01/08/2022,['רכב שמור ומטופל לפי שעון\nהרכב מושקע\nג׳אנטים של s1 \nקליפרים אדומים\nחלונות ופנסים מושחרים\nצמיגים חדשים \nטסט לשנה'],שחור,130000,,139.0
סוזוקי,2021,סוזוקי איגניס,1,אוטומטית,1200,היבריד,פרטית,פרטית,גליל,יוקנעם,82000.0,3.0,16/06/2023,16/06/2023,['ללא תאונות.מטופל במוסך מורשה. טסט לשנה'],לבן,44000,,
יונדאי,2015,i10,3,אוטומטית,1000,בנזין,פרטית,פרטית,,באקה א שרקיה,38500.0,3.0,08/07/2023,08/07/2023,['רכב מאוד חסכוני כמו חדש \nמתאים לבנות'],שחור,115000,,
קיה,2014,פורטה,3,אוטומטית,1600,בנזין,השכרה,פרטית,נס ציונה - רחובות,רחובות,24000.0,9.0,10/02/2024,10/02/2024,['רכב שמור מאוד נמכר עקב קבלת רכב מהעבודה'],לבן,180174,,9.0
מיצובישי,2021,ספייס סטאר,1,אוטומטית,1200,בנזין,,,נתניה והסביבה,נתניה,76000.0,,27/09/2022,27/09/2022,"['רכב חדש של אדם מבוגר (אבא שלי) רק 6000 ק""מ, ללא שריטה , חונה תמיד בחניון מקורה מתחת לבניין נמכר עקב חוסר שימוש']",,6000,,7.0
Lexsus,2014,לקסוס IS300h,3,אוטומטית,2500,היבריד,פרטית,פרטית,בקעת אונו,ברקת,82000.0,3.0,14/09/2022,14/09/2022,['רכב מסוג לקסוס is300h 2014 בצבע שחור מדהים!! זה צבע שאין הרבה. פגז של אוטו!! טיפולים בזמן!!! (ישנו עדיין אחריות על הבטריה) צמיגים חדשים!! כל הקודם זוכה.'],שחור,219000,None,
קיה,2014,פיקנטו,3,אוטומטית,1200,בנזין,פרטית,פרטית,עמק יזרעאל,מגדל העמק,43000.0,4.0,04/05/2022,26/03/2023,"['למכירה קיה פיקנטו דגם ספורט EX מפואר! שנת 2014 יד 02 ברישיון פרטית ק""מ 118,000 מנוע 1250 כ""ס 85 סאן-רוף טסט עד 04/23, לאחר טיפול, הוחלפו 4 צמיגים חדשים מקוריים, מסך מולטימדיה חדש, 3 מצלמות רכב. ללא תאונות בכלל וללא תיקוני צבע!']",לבן,130000,,14.0
קרייזלר,2012,"גראנד, וויאג'ר",3,אוטומטית,3600,בנזין,פרטית,פרטית,נתניה והסביבה,נתניה,41000.0,8.0,01/10/2023,01/10/2023,['שמור ומטופל במורשה מצבר חדש ספטמבר 2023\nמולטימדיה אנדרואיד\nלרציניים בלבד טסט עד סוף 03/24 עדיף לפנות בוואטסאפ. לא בשבת! \nתוספות\r\n\t\t\t\tדגם - GRAND VOYAGER רמת גימור - TOURING K סוג דלק - בנזין הנעה - 4X2 נפח - 3604 מספר דלתות - 5 2 חשמליות טכנולוגית הנעה - הנעה רגילה מספר מושבים - 7\r\n\t\t\t'],אפור,162000,,
מאזדה,2014,מאזדה 3,3,ידנית,1600,בנזין,פרטית,פרטית,בית שמש והסביבה,בית שמש,50000.0,12.0,02/05/2023,02/05/2023,['רכב מצב שמור מאוד ללא תאונות רכב חלק מהכל חסכוני מצב חדש נהג ייחד על הרכב לקחת ולסוע '],אפור עכבר,170000,,6917.0
סיטרואן,2019,C4,2,אוטומטית,1199,בנזין,,,נס ציונה - רחובות,רחובות,88000.0,0.0,22/05/2022,22/05/2022,['כמו חדש מוחלף בגלל קשיי נגישות לאדם מבוגר\r\nמגיע עם אחריות יצרן עד 11.2024'],,32000,,801.0
פיג'ו,2014,2008,3,אוטומטית,1600,בנזין,פרטית,פרטית,עמק יזרעאל,מגדל העמק,33000.0,4.0,25/01/2023,25/01/2023,"[""['2008 Peugeot שחרור 2014 מבחן נובמבר 2023-2024 עדכון מלא לפני המבחן: סוללה חדשה צמיגים חדשים רדיאטור חדש']""]",אפור מטאלי,148000,147,597.0
קיה,2018,סטוניק,2,אוטומטית,1000,בנזין,פרטית,פרטית,ירושלים והסביבה,מבשרת ציון,73000.0,6.0,04/10/2023,04/10/2023,"[""קיה סטוניק דגם Premium אוט' טורבו 1.0 (120 כ''ס).\nיד 2 פרטי, שנת 2018 , ק״מ 100,000\nנהגת יחידה,ללא תאונות,שתי צבעים מבפנים ומבחוץ, כיסאות בשילוב עור, ג׳אנט 17 אינטש , רכב שמור ביותר,הגה ספורט, חסכוני בדלק, כניסה והנעה לרכב ללא מפתח, כולל מערכת של שמירה על הנתיב + בלימה אוטומטית, Apple CarPlay+ Android Auto. \nמטופל במוסך מורשה בלבד! \nאחרי טיפול וטסט כמעט לשנה.\nנמכר עקב שדרוג. \nמחיר- 73,000\nגמיש מעט לרציניים""]",אפור,100000,51,
